index,x,y,yaw,speed,timestamp
1,1.8000,0.9000,3.1416,0.50,1787199804.850
2,1.5952,0.9125,3.0173,0.50,1787199825.183
3,1.3971,0.9495,2.8945,0.50,1787199826.917
4,1.2068,1.0120,2.7435,0.50,1787199829.250
5,1.0282,1.1049,2.5787,0.50,1787199832.784
6,0.8672,1.2259,2.4139,0.50,1787199836.317
7,1.0006,1.0762,2.2356,0.50,1787199847.017
8,1.1115,0.9081,2.0708,0.50,1787199850.483
9,1.0365,1.0942,1.9044,0.50,1787199860.517
10,0.9823,1.2882,1.7794,0.50,1787199863.984
11,0.9568,1.4879,1.6146,0.50,1787199867.450
12,0.9560,1.6908,1.5682,0.50,1787199870.817
13,0.9565,1.8922,1.5682,0.50,1787199872.384
14,0.9570,2.0938,1.5682,0.50,1787199873.817
15,0.9575,2.2986,1.5682,0.50,1787199875.183
16,0.9581,2.5002,1.5682,0.50,1787199876.450
17,0.9586,2.7018,1.5682,0.50,1787199877.750
18,0.9591,2.9034,1.5682,0.50,1787199879.017
19,0.9596,3.1050,1.5682,0.50,1787199880.284
20,0.9602,3.3098,1.5682,0.50,1787199881.550
21,0.9607,3.5114,1.5682,0.50,1787199882.817
22,0.9612,3.7119,1.5682,0.50,1787199884.350
23,0.9617,3.9135,1.5682,0.50,1787199886.950
24,0.9622,4.1151,1.5682,0.50,1787199889.617
25,0.9630,4.3167,1.5453,0.50,1787199898.584
26,0.9893,4.5162,1.3220,0.50,1787199901.584
27,1.0628,4.7034,1.0700,0.50,1787199904.517
28,0.9195,4.5628,0.7931,0.50,1787199919.283
29,0.7752,4.4220,0.7628,0.50,1787199922.783
30,0.6000,4.3000,0.4000,0.50,1787199925.684
31,0.4000,4.2300,0.2000,0.50,1787199928.517
32,0.2000,4.2000,0.0000,0.50,1787199931.117
33,0.0000,4.2000,0.0000,0.50,1787199938.184
34,0.2000,4.2000,0.0000,0.50,1787199951.383
35,0.4500,4.2200,0.1500,0.50,1787199953.917
36,0.7000,4.2500,0.4500,0.50,1787199956.684
37,0.8281,4.3000,0.8000,0.50,1787199959.883
38,0.9366,4.4226,0.9162,0.50,1787199963.351
39,1.0864,4.5582,0.5521,0.50,1787199966.750
40,1.2580,4.6401,0.2520,0.50,1787199969.317
41,1.4429,4.6853,-0.0033,0.50,1787199971.950
42,1.6429,4.6890,-0.0270,0.50,1787199974.717
43,1.8396,4.6750,-0.1706,0.50,1787199977.384
44,2.0298,4.6231,-0.3477,0.50,1787199980.250
45,2.2152,4.5385,-0.5085,0.50,1787199983.383
46,2.3789,4.4093,-0.7410,0.50,1787199986.350
47,2.5084,4.2494,-0.9996,0.50,1787199989.483
48,2.5855,4.0620,-1.2369,0.50,1787199992.817
49,2.6237,3.8706,-1.3323,0.50,1787199995.883
50,2.6415,3.6703,-1.4284,0.50,1787199999.017
51,2.6483,3.4687,-1.4930,0.50,1787200003.017
52,2.6517,3.2662,-1.5173,0.50,1787200008.283
53,2.6591,3.1440,-1.3814,0.50,1787200011.851
54,2.7054,2.9462,-1.2992,0.50,1787200014.750
55,2.7849,2.7604,-1.0723,0.50,1787200043.250
56,2.5500,2.6200,-0.4000,0.50,1787200052.450
57,2.3500,2.6500,-0.7000,0.50,1787200055.317
58,2.2000,2.7800,-1.1000,0.50,1787200058.283
59,2.1200,3.0000,-1.4500,0.50,1787200061.183
60,2.1000,3.2500,-1.5708,0.50,1787200064.017
61,2.1000,3.4800,-1.5708,0.50,1787200071.384
62,2.1000,3.3500,-1.5708,0.50,1787200075.583
63,2.1000,3.1500,-1.5708,0.50,1787200076.483
64,2.0800,2.9500,-1.5358,0.50,1787200085.750
65,2.0233,2.8104,-1.2672,0.50,1787200088.283
66,2.1125,2.6306,-0.9415,0.50,1787200090.950
67,2.2574,2.4919,-0.5921,0.50,1787200093.583
68,2.4363,2.3962,-0.4109,0.50,1787200096.417
69,2.6134,2.3014,-0.6500,0.50,1787200099.450
70,2.7538,2.1576,-0.9363,0.50,1787200102.483
71,2.8505,1.9814,-1.2032,0.50,1787200105.650
72,2.8988,1.7862,-1.4614,0.50,1787200108.950
73,2.8901,1.5856,-1.7719,0.50,1787200112.083
74,2.8215,1.3968,-2.0578,0.50,1787200115.383
75,2.7009,1.2364,-2.3874,0.50,1787200118.583
76,2.5333,1.1263,-2.7417,0.50,1787200121.783
77,2.3382,1.0785,-2.9837,0.50,1787200125.017
78,2.1374,1.0468,-2.9945,0.50,1787200128.017
79,1.9374,1.0226,-3.0762,0.50,1787200132.284
